epoch 1
loss = 0.865360
accuracy = 0.700000
loss = 0.674183
accuracy = 0.800000
loss = 1.537684
accuracy = 0.400000
loss = 0.882930
accuracy = 0.000000
loss = 3.669645
accuracy = 0.300000
loss = 2.053884
accuracy = 0.300000
loss = 1.159672
accuracy = 0.600000
loss = 1.652602
accuracy = 0.200000
loss = 1.640212
accuracy = 0.100000
loss = 1.168734
accuracy = 0.200000
loss = 1.241545
accuracy = 0.500000
loss = 1.063961
accuracy = 0.400000
loss = 1.268924
accuracy = 0.400000
loss = 0.970334
accuracy = 0.500000
loss = 0.900312
accuracy = 0.500000
loss = 0.891824
accuracy = 0.600000
loss = 1.338421
accuracy = 0.300000
loss = 1.400217
accuracy = 0.300000
loss = 1.015178
accuracy = 0.000000
loss = 1.240622
accuracy = 0.200000
loss = 0.689891
accuracy = 0.800000
loss = 1.303572
accuracy = 0.300000
loss = 1.444240
accuracy = 0.300000
loss = 1.129724
accuracy = 0.400000
loss = 0.716177
accuracy = 0.600000
loss = 1.063025
accuracy = 0.300000
loss = 0.726747
accuracy = 0.900000
loss = 1.327534
accuracy = 0.400000
loss = 1.137467
accuracy = 0.400000
loss = 1.257114
accuracy = 0.200000
loss = 1.032720
accuracy = 0.400000
loss = 1.223241
accuracy = 0.100000
loss = 1.017207
accuracy = 0.600000
loss = 0.839460
accuracy = 0.600000
loss = 1.243386
accuracy = 0.500000
loss = 0.912536
accuracy = 0.500000
loss = 1.086623
accuracy = 0.300000
loss = 1.140188
accuracy = 0.300000
loss = 1.094422
accuracy = 0.200000
loss = 0.988106
accuracy = 0.200000
loss = 0.973330
accuracy = 0.500000
loss = 1.072906
accuracy = 0.100000
loss = 1.364148
accuracy = 0.000000
loss = 1.057832
accuracy = 0.500000
loss = 0.924820
accuracy = 0.600000
loss = 0.892661
accuracy = 0.700000
loss = 2.293615
accuracy = 0.200000
loss = 0.507331
accuracy = 0.900000
loss = 0.617372
accuracy = 0.900000
loss = 1.203088
accuracy = 0.300000
loss = 1.191866
accuracy = 0.500000
loss = 1.325801
accuracy = 0.200000
loss = 0.868896
accuracy = 0.600000
loss = 1.653390
accuracy = 0.100000
loss = 1.227333
accuracy = 0.300000
loss = 1.435343
accuracy = 0.100000
