epoch 1
loss = 1.073371
accuracy = 1.000000
loss = 1.077144
accuracy = 0.900000
loss = 1.048100
accuracy = 0.400000
loss = 1.248507
accuracy = 0.300000
loss = 2.653235
accuracy = 0.000000
loss = 1.011362
accuracy = 0.500000
loss = 1.412974
accuracy = 0.300000
loss = 1.247472
accuracy = 0.200000
loss = 1.040501
accuracy = 0.300000
loss = 1.367007
accuracy = 0.100000
loss = 1.063245
accuracy = 0.400000
loss = 1.074257
accuracy = 0.400000
loss = 1.214432
accuracy = 0.100000
loss = 0.963229
accuracy = 0.500000
loss = 1.113091
accuracy = 0.000000
loss = 1.047962
accuracy = 0.400000
loss = 1.097812
accuracy = 0.400000
loss = 1.220617
accuracy = 0.300000
loss = 1.011447
accuracy = 0.900000
loss = 1.127306
accuracy = 0.200000
loss = 0.996878
accuracy = 0.800000
loss = 1.093110
accuracy = 0.300000
loss = 1.148731
accuracy = 0.300000
loss = 1.024094
accuracy = 0.400000
loss = 0.917366
accuracy = 0.600000
loss = 1.084168
accuracy = 0.300000
loss = 0.808389
accuracy = 0.900000
loss = 1.098099
accuracy = 0.400000
loss = 0.745362
accuracy = 0.400000
loss = 1.231680
accuracy = 0.200000
loss = 1.831174
accuracy = 0.300000
loss = 0.899924
accuracy = 0.400000
loss = 1.065323
accuracy = 0.300000
loss = 1.094502
accuracy = 0.400000
loss = 1.186807
accuracy = 0.100000
loss = 0.989611
accuracy = 0.700000
loss = 1.098223
accuracy = 0.400000
loss = 1.113572
accuracy = 0.300000
loss = 1.061644
accuracy = 0.700000
loss = 1.059852
accuracy = 0.700000
loss = 1.075623
accuracy = 0.300000
loss = 1.093681
accuracy = 0.000000
loss = 1.072197
accuracy = 0.200000
loss = 1.105171
accuracy = 0.600000
loss = 1.054192
accuracy = 0.700000
loss = 1.113870
accuracy = 0.500000
loss = 1.497541
accuracy = 0.000000
loss = 1.050660
accuracy = 0.900000
loss = 1.099746
accuracy = 0.900000
loss = 1.184291
accuracy = 0.300000
loss = 1.100773
accuracy = 0.100000
loss = 1.089026
accuracy = 0.200000
loss = 1.035399
accuracy = 0.600000
loss = 1.058664
accuracy = 0.400000
loss = 1.068274
accuracy = 0.600000
loss = 1.112674
accuracy = 0.400000
loss = 1.055800
accuracy = 0.700000
loss = 1.106978
accuracy = 0.300000
loss = 1.028159
accuracy = 0.600000
loss = 1.047289
accuracy = 0.700000
loss = 1.146946
accuracy = 0.200000
loss = 1.197591
accuracy = 0.000000
loss = 1.046131
accuracy = 0.600000
loss = 1.132429
accuracy = 0.400000
loss = 1.083061
accuracy = 0.100000
loss = 1.038206
accuracy = 0.600000
loss = 0.964732
accuracy = 1.000000
loss = 1.038216
accuracy = 0.400000
loss = 1.027540
accuracy = 0.600000
loss = 1.159444
accuracy = 0.400000
loss = 1.069147
accuracy = 0.200000
loss = 1.108767
accuracy = 0.100000
loss = 1.027167
accuracy = 0.500000
loss = 1.079327
accuracy = 0.400000
loss = 1.032790
accuracy = 0.400000
loss = 0.931481
accuracy = 0.800000
loss = 1.144156
accuracy = 0.400000
loss = 1.106363
accuracy = 0.400000
loss = 0.881051
accuracy = 0.700000
loss = 0.986365
accuracy = 0.500000
loss = 1.332668
accuracy = 0.300000
loss = 1.034036
accuracy = 0.500000
loss = 1.076005
accuracy = 0.400000
loss = 0.899118
accuracy = 0.700000
loss = 0.889662
accuracy = 0.800000
loss = 0.833159
accuracy = 0.900000
loss = 1.330769
accuracy = 0.400000
loss = 1.082923
accuracy = 0.500000
loss = 1.417328
accuracy = 0.200000
loss = 1.079614
accuracy = 0.400000
loss = 0.868739
accuracy = 0.800000
loss = 1.074212
accuracy = 0.600000
loss = 1.005245
accuracy = 0.600000
loss = 1.126141
accuracy = 0.200000
loss = 0.962368
accuracy = 0.700000
loss = 1.100094
accuracy = 0.300000
loss = 1.050767
accuracy = 0.400000
loss = 1.019313
accuracy = 0.500000
loss = 1.218384
accuracy = 0.000000
loss = 1.044038
accuracy = 0.400000
loss = 0.973814
accuracy = 0.700000
loss = 1.060629
accuracy = 0.400000
loss = 1.011780
accuracy = 0.600000
loss = 1.103014
accuracy = 0.500000
loss = 1.125741
accuracy = 0.300000
loss = 1.116206
accuracy = 0.500000
loss = 1.177932
accuracy = 0.200000
loss = 1.082049
accuracy = 0.300000
loss = 1.168871
accuracy = 0.000000
loss = 0.992745
accuracy = 0.700000
loss = 1.220231
accuracy = 0.000000
loss = 0.912935
accuracy = 0.700000
loss = 1.018241
accuracy = 0.600000
loss = 1.009705
accuracy = 0.500000
loss = 1.048608
accuracy = 0.600000
loss = 1.173102
accuracy = 0.300000
loss = 1.284409
accuracy = 0.100000
loss = 1.153989
accuracy = 0.300000
loss = 1.098699
accuracy = 0.200000
loss = 1.175466
accuracy = 0.200000
loss = 0.975898
accuracy = 0.700000
loss = 0.944093
accuracy = 0.700000
loss = 1.059916
accuracy = 0.500000
loss = 1.131927
accuracy = 0.300000
loss = 1.034801
accuracy = 0.700000
loss = 1.152262
accuracy = 0.100000
loss = 0.913922
accuracy = 0.900000
loss = 1.030646
accuracy = 0.400000
loss = 1.069507
accuracy = 0.200000
loss = 1.081334
accuracy = 0.300000
loss = 1.092298
accuracy = 0.600000
loss = 1.165691
accuracy = 0.400000
loss = 1.221424
accuracy = 0.200000
loss = 1.140861
accuracy = 0.400000
loss = 1.060484
accuracy = 0.500000
loss = 1.047422
accuracy = 0.500000
loss = 1.134943
accuracy = 0.300000
loss = 1.060422
accuracy = 0.400000
loss = 1.070442
accuracy = 0.500000
loss = 0.944272
accuracy = 0.900000
loss = 0.919684
accuracy = 0.900000
loss = 1.092041
accuracy = 0.300000
loss = 1.105930
accuracy = 0.300000
loss = 1.133186
accuracy = 0.300000
loss = 1.117200
accuracy = 0.400000
loss = 1.163080
accuracy = 0.100000
loss = 0.899473
accuracy = 0.900000
loss = 1.167929
accuracy = 0.400000
loss = 0.941667
accuracy = 0.700000
loss = 1.040856
accuracy = 0.500000
loss = 1.088314
accuracy = 0.500000
loss = 1.110530
accuracy = 0.100000
loss = 1.059851
accuracy = 0.300000
loss = 0.900271
accuracy = 0.900000
loss = 0.847304
accuracy = 1.000000
loss = 1.156074
accuracy = 0.300000
loss = 1.005680
accuracy = 0.400000
loss = 0.931165
accuracy = 0.600000
loss = 1.115547
accuracy = 0.300000
loss = 1.239154
accuracy = 0.000000
loss = 1.134117
accuracy = 0.300000
loss = 1.065820
accuracy = 0.200000
loss = 0.974905
accuracy = 0.500000
loss = 1.222113
accuracy = 0.200000
training time 0:01:39.219947
  training loss:                 1.09164
  training accuracy:             0.435366
  best epoch:                    1
  best training loss:            1.09164
epoch 2
loss = 0.846566
accuracy = 0.700000
loss = 0.888008
accuracy = 0.800000
loss = 0.967377
accuracy = 0.400000
loss = 0.842515
accuracy = 0.700000
loss = 0.991984
accuracy = 0.500000
loss = 1.148518
accuracy = 0.500000
loss = 1.004445
accuracy = 0.300000
loss = 1.222931
accuracy = 0.200000
loss = 1.127637
accuracy = 0.100000
loss = 0.999625
accuracy = 0.100000
loss = 0.897813
accuracy = 0.400000
loss = 1.076233
accuracy = 0.400000
loss = 1.332798
accuracy = 0.200000
loss = 1.116992
accuracy = 0.300000
loss = 1.414361
accuracy = 0.000000
loss = 0.913068
accuracy = 0.400000
loss = 1.132371
accuracy = 0.400000
loss = 1.028679
accuracy = 0.500000
loss = 0.929521
accuracy = 1.000000
loss = 1.057375
accuracy = 0.600000
loss = 1.042880
accuracy = 0.800000
loss = 1.113193
accuracy = 0.300000
loss = 1.217065
accuracy = 0.300000
loss = 1.057287
accuracy = 0.400000
loss = 1.048936
accuracy = 0.600000
loss = 1.153303
accuracy = 0.300000
loss = 0.994567
accuracy = 0.900000
loss = 1.091651
accuracy = 0.200000
loss = 0.996652
accuracy = 0.700000
loss = 1.022968
accuracy = 0.400000
loss = 1.147877
accuracy = 0.400000
loss = 1.025512
accuracy = 0.400000
loss = 1.014092
accuracy = 0.300000
loss = 1.188644
accuracy = 0.400000
loss = 1.143499
accuracy = 0.100000
loss = 0.935035
accuracy = 0.700000
loss = 1.099507
accuracy = 0.400000
loss = 1.197031
accuracy = 0.300000
loss = 0.993085
accuracy = 0.700000
loss = 0.989145
accuracy = 0.700000
loss = 1.041364
accuracy = 0.300000
loss = 1.112127
accuracy = 0.000000
loss = 1.045501
accuracy = 0.200000
loss = 1.118092
accuracy = 0.600000
loss = 0.990082
accuracy = 0.700000
loss = 1.165052
accuracy = 0.500000
loss = 1.711151
accuracy = 0.000000
loss = 0.957926
accuracy = 0.900000
loss = 1.008432
accuracy = 0.900000
loss = 1.120586
accuracy = 0.300000
loss = 1.051355
accuracy = 0.800000
loss = 1.092042
accuracy = 0.200000
loss = 0.964574
accuracy = 0.600000
loss = 1.025217
accuracy = 0.400000
loss = 1.039701
accuracy = 0.600000
loss = 1.122102
accuracy = 0.600000
loss = 1.022661
accuracy = 0.700000
loss = 1.117256
accuracy = 0.400000
loss = 0.964545
accuracy = 0.700000
loss = 0.979735
accuracy = 0.700000
loss = 1.192264
accuracy = 0.200000
loss = 1.259873
accuracy = 0.000000
loss = 0.982820
accuracy = 0.900000
loss = 1.157300
accuracy = 0.400000
loss = 1.059847
accuracy = 0.100000
loss = 0.984338
accuracy = 0.700000
loss = 0.871749
accuracy = 1.000000
loss = 1.022892
accuracy = 0.400000
loss = 0.999064
accuracy = 0.600000
loss = 1.149433
accuracy = 0.400000
loss = 1.077360
accuracy = 0.200000
loss = 1.118250
accuracy = 0.100000
loss = 1.012859
accuracy = 0.500000
loss = 1.050429
accuracy = 0.400000
loss = 1.032304
accuracy = 0.400000
loss = 0.892468
accuracy = 0.800000
loss = 1.174679
accuracy = 0.400000
loss = 1.109106
accuracy = 0.400000
loss = 0.844435
accuracy = 0.700000
loss = 0.997442
accuracy = 0.500000
loss = 1.265163
accuracy = 0.300000
loss = 1.013917
accuracy = 0.500000
loss = 1.018790
accuracy = 0.400000
loss = 0.877004
accuracy = 0.700000
loss = 0.861907
accuracy = 0.800000
loss = 0.683332
accuracy = 0.900000
loss = 2.826930
accuracy = 0.400000
loss = 1.032642
accuracy = 0.500000
loss = 1.255319
accuracy = 0.200000
loss = 1.066496
accuracy = 0.400000
loss = 0.910211
accuracy = 0.800000
loss = 1.066671
accuracy = 0.600000
loss = 0.994177
accuracy = 0.600000
loss = 1.110914
accuracy = 0.200000
loss = 0.958673
accuracy = 0.700000
loss = 1.116903
accuracy = 0.300000
loss = 1.047114
accuracy = 0.400000
loss = 1.002503
accuracy = 0.500000
loss = 1.221487
accuracy = 0.000000
loss = 1.069793
accuracy = 0.400000
loss = 0.963883
accuracy = 0.700000
loss = 1.011422
accuracy = 0.400000
loss = 1.004243
accuracy = 0.600000
loss = 1.108974
accuracy = 0.500000
loss = 1.111429
accuracy = 0.300000
loss = 1.134891
accuracy = 0.500000
loss = 1.218471
accuracy = 0.200000
loss = 1.051804
accuracy = 0.300000
loss = 1.140092
accuracy = 0.000000
loss = 0.984623
accuracy = 0.700000
loss = 1.201178
accuracy = 0.000000
loss = 0.921492
accuracy = 0.700000
loss = 1.042333
accuracy = 0.600000
loss = 0.979135
accuracy = 0.500000
loss = 1.060312
accuracy = 0.600000
loss = 1.212952
accuracy = 0.300000
loss = 1.254751
accuracy = 0.100000
loss = 1.177924
accuracy = 0.300000
loss = 1.050908
accuracy = 0.200000
loss = 1.174788
accuracy = 0.200000
loss = 0.959269
accuracy = 0.700000
loss = 0.936642
accuracy = 0.700000
loss = 1.086565
accuracy = 0.500000
loss = 1.141130
accuracy = 0.300000
loss = 1.048424
accuracy = 0.700000
loss = 1.147970
accuracy = 0.100000
loss = 0.921722
accuracy = 0.900000
loss = 1.010132
accuracy = 0.400000
loss = 1.042964
accuracy = 0.200000
loss = 1.086096
accuracy = 0.300000
loss = 1.067847
accuracy = 0.600000
loss = 1.194576
accuracy = 0.400000
loss = 1.239910
accuracy = 0.200000
loss = 1.158341
accuracy = 0.400000
loss = 1.032886
accuracy = 0.500000
loss = 1.046424
accuracy = 0.500000
loss = 1.141040
accuracy = 0.300000
loss = 1.044657
accuracy = 0.400000
loss = 1.073116
accuracy = 0.500000
loss = 0.946514
accuracy = 0.900000
loss = 0.914651
accuracy = 0.900000
loss = 1.085833
accuracy = 0.300000
loss = 1.087461
accuracy = 0.300000
loss = 1.136971
accuracy = 0.300000
loss = 1.126092
accuracy = 0.400000
loss = 1.157800
accuracy = 0.100000
loss = 0.888949
accuracy = 0.900000
loss = 1.198090
accuracy = 0.400000
loss = 0.915726
accuracy = 0.700000
loss = 1.034986
accuracy = 0.500000
loss = 1.112091
accuracy = 0.500000
loss = 1.098888
accuracy = 0.100000
loss = 1.027896
accuracy = 0.300000
loss = 0.888855
accuracy = 0.900000
loss = 0.830941
accuracy = 1.000000
loss = 1.177999
accuracy = 0.300000
loss = 0.979323
accuracy = 0.400000
loss = 0.898767
accuracy = 0.600000
loss = 1.106670
accuracy = 0.300000
loss = 1.290526
accuracy = 0.000000
loss = 1.182181
accuracy = 0.200000
loss = 1.044428
accuracy = 0.200000
loss = 0.938049
accuracy = 0.400000
loss = 1.262216
accuracy = 0.200000
training time 0:03:21.270085
  training loss:                 1.07297
  training accuracy:             0.451219
  best epoch:                    2
  best training loss:            1.07297
epoch 3
loss = 0.832216
accuracy = 1.000000
loss = 0.885911
accuracy = 0.800000
loss = 0.947730
accuracy = 0.400000
loss = 0.832630
accuracy = 0.700000
loss = 0.980363
accuracy = 0.500000
loss = 1.161252
accuracy = 0.500000
loss = 1.019152
accuracy = 0.300000
loss = 1.204114
accuracy = 0.200000
loss = 1.082489
accuracy = 0.100000
loss = 0.969849
accuracy = 0.300000
loss = 0.876961
accuracy = 0.400000
loss = 1.075893
accuracy = 0.400000
loss = 1.348977
accuracy = 0.200000
loss = 1.119395
accuracy = 0.300000
loss = 1.458882
accuracy = 0.000000
loss = 0.907509
accuracy = 0.400000
loss = 1.141518
accuracy = 0.400000
loss = 1.016193
accuracy = 0.300000
loss = 0.911094
accuracy = 0.900000
loss = 1.052530
accuracy = 0.200000
loss = 1.039522
accuracy = 0.800000
loss = 1.115735
accuracy = 0.300000
loss = 1.220671
accuracy = 0.300000
loss = 1.057198
accuracy = 0.400000
loss = 1.047199
accuracy = 0.600000
loss = 1.159276
accuracy = 0.300000
loss = 0.980430
accuracy = 0.900000
loss = 1.083578
accuracy = 0.200000
loss = 1.011672
accuracy = 0.400000
loss = 1.081036
accuracy = 0.200000
loss = 1.162544
accuracy = 0.300000
loss = 0.998416
accuracy = 0.700000
loss = 1.024987
accuracy = 0.300000
loss = 1.252226
accuracy = 0.400000
loss = 1.108792
accuracy = 0.100000
loss = 1.008356
accuracy = 0.700000
loss = 1.097411
accuracy = 0.400000
loss = 1.166146
accuracy = 0.300000
loss = 0.997629
accuracy = 0.700000
loss = 0.996807
accuracy = 0.700000
loss = 1.045466
accuracy = 0.300000
loss = 1.110233
accuracy = 0.000000
loss = 1.047165
accuracy = 0.200000
loss = 1.113864
accuracy = 0.600000
loss = 0.998958
accuracy = 0.700000
loss = 1.148618
accuracy = 0.500000
