epoch 1
loss = 0.841845
accuracy = 0.700000
loss = 0.527238
accuracy = 0.800000
loss = 0.902434
accuracy = 0.500000
loss = 1.759681
accuracy = 0.600000
loss = 1.429083
accuracy = 0.400000
loss = 2.467698
accuracy = 0.300000
loss = 1.714357
accuracy = 0.500000
loss = 5.160347
accuracy = 0.100000
loss = 5.879378
accuracy = 0.100000
loss = 1.989568
accuracy = 0.400000
loss = 1.479962
accuracy = 0.400000
loss = 2.391024
accuracy = 0.400000
loss = 2.305534
accuracy = 0.100000
loss = 2.245988
accuracy = 0.300000
loss = 3.099744
accuracy = 0.000000
loss = 1.139836
accuracy = 0.300000
loss = 0.894389
accuracy = 0.700000
loss = 0.808099
accuracy = 0.600000
loss = 0.308027
accuracy = 1.000000
loss = 2.074874
accuracy = 0.200000
loss = 4.169286
accuracy = 0.000000
loss = 2.073828
accuracy = 0.400000
loss = 2.057273
accuracy = 0.300000
loss = 1.307612
accuracy = 0.500000
loss = 4.829728
accuracy = 0.000000
loss = 2.618149
accuracy = 0.100000
loss = 2.284498
accuracy = 0.100000
loss = 2.066700
accuracy = 0.400000
loss = 1.634982
accuracy = 0.600000
